시군구,연도,0~9,10~19,20~29,30~39,40~49,50~59
강원도 (4200000000),2011,132030,197384,183798,213295,255010,250600
강원도 (4200000000),2012,129660,191577,180716,208796,252053,256968
강원도 (4200000000),2013,126868,185598,180364,202244,253169,264144
강원도 (4200000000),2014,124511,178979,181760,194502,252750,267736
강원도 (4200000000),2015,123275,171073,184802,189754,250407,269286
강원도 (4200000000),2016,121381,163401,184869,185407,246372,271727
강원도 (4200000000),2017,116726,156946,185914,180188,242216,270839
강원도 (4200000000),2018,112664,150060,182891,175578,233996,271635
강원도 (4200000000),2019,109556,143799,181102,170669,228292,270588
강원도 (4200000000),2020,105598,137508,180015,166349,224378,267815
강원도 (4200000000),2021,100971,133885,175424,162817,219422,264586
강원도 (4200000000),2022,96036,132133,170194,160365,215872,262025
강원도 (4200000000),2023,110220,150552,178913,175526,231437,265389
강원도 (4200000000),2024,110220,150552,178913,175526,231437,265389
강원도 (4200000000),2025,110220,150552,178913,175526,231437,265389
강원도 강릉시,2011,18265,28431,24907,30887,36162,35792
강원도 강릉시,2012,17769,27970,24462,30035,35702,36526
강원도 강릉시,2013,17017,27107,24533,28280,35857,37166
강원도 강릉시,2014,16316,25907,24835,26705,35816,37313
강원도 강릉시,2015,15943,24320,24847,25494,35694,37118
강원도 강릉시,2016,15624,23125,24804,24580,35071,37300
강원도 강릉시,2017,14997,22104,25130,23851,34570,37069
강원도 강릉시,2018,14512,20922,25047,23140,33434,37198
강원도 강릉시,2019,14037,20214,25401,22294,32932,36860
강원도 강릉시,2020,13488,18974,25201,21691,32357,36652
강원도 강릉시,2021,12837,18449,24560,21221,31762,36670
강원도 강릉시,2022,12142,18011,23804,20625,30918,36193
강원도 강릉시,2023,14260,21087,24715,23350,33157,36669
강원도 강릉시,2024,14260,21087,24715,23350,33157,36669
강원도 강릉시,2025,14260,21087,24715,23350,33157,36669
강원도 고성군,2011,1835,3161,4114,3048,4348,5372
강원도 고성군,2012,1767,2961,4370,2932,4232,5448
강원도 고성군,2013,1668,2810,4910,2819,4058,5518
강원도 고성군,2014,1630,2680,4806,2697,4048,5483
강원도 고성군,2015,1579,2552,4594,2654,3963,5416
강원도 고성군,2016,1533,2453,4469,2554,3930,5500
강원도 고성군,2017,1492,2324,4372,2529,3865,5480
강원도 고성군,2018,1345,1985,3625,2359,3398,5241
강원도 고성군,2019,1348,1772,3169,2262,3198,4997
강원도 고성군,2020,1273,1621,2868,2219,3063,4822
강원도 고성군,2021,1354,1588,2678,2379,3077,4797
강원도 고성군,2022,1298,1591,2597,2317,3032,4718
강원도 고성군,2023,1427,2012,3390,2455,3431,5055
강원도 고성군,2024,1427,2012,3390,2455,3431,5055
강원도 고성군,2025,1427,2012,3390,2455,3431,5055
강원도 동해시,2011,8648,13003,10688,14052,16103,15564
강원도 동해시,2012,8317,12269,10068,13359,15737,15757
강원도 동해시,2013,8484,11972,10336,13079,16132,15955
강원도 동해시,2014,8330,11457,10112,12396,16259,15992
강원도 동해시,2015,8142,10931,9787,12042,16167,15840
강원도 동해시,2016,7981,10416,9710,11554,15973,15884
강원도 동해시,2017,7651,9948,9944,10927,15792,15753
강원도 동해시,2018,7306,9471,9631,10095,15236,15721
강원도 동해시,2019,6876,9084,9437,9555,14897,15706
강원도 동해시,2020,6625,8817,9419,9233,14569,15638
강원도 동해시,2021,6272,8535,9361,8677,14228,15731
강원도 동해시,2022,5828,8442,8928,8419,13868,15652
강원도 동해시,2023,7010,9631,9567,10147,14939,15715
강원도 동해시,2024,7010,9631,9567,10147,14939,15715
강원도 동해시,2025,7010,9631,9567,10147,14939,15715
강원도 삼척시,2011,5141,8606,9310,9079,10843,12144
강원도 삼척시,2012,4984,8393,9504,8785,10677,12359
강원도 삼척시,2013,4832,8121,9934,8539,10811,12498
강원도 삼척시,2014,4816,7856,9550,8044,10783,12442
강원도 삼척시,2015,4748,7241,9002,7553,10557,12312
강원도 삼척시,2016,4609,6775,8696,7127,10224,12211
강원도 삼척시,2017,4366,6455,8499,6738,9893,11954
강원도 삼척시,2018,4310,6012,8334,6697,9703,11986
강원도 삼척시,2019,4139,5610,7935,6344,9332,11767
강원도 삼척시,2020,3861,5134,7236,5795,8923,11331
강원도 삼척시,2021,3524,5018,6721,5210,8497,10920
강원도 삼척시,2022,3394,5010,6736,5082,8313,10742
강원도 삼척시,2023,4081,6012,7825,6390,9355,11534
강원도 삼척시,2024,4081,6012,7825,6390,9355,11534
강원도 삼척시,2025,4081,6012,7825,6390,9355,11534
강원도 속초시,2011,7184,11724,9151,11612,15333,13954
강원도 속초시,2012,7062,11255,8994,11260,15146,14418
강원도 속초시,2013,6772,10777,8848,10852,14950,14858
