시군구,㎡당단가(만원)
경기도 가평군 가평읍,267.49646854692884
경기도 가평군 북면,231.67245431677878
경기도 가평군 상면,198.2309268789135
경기도 가평군 설악면,336.350605802639
경기도 가평군 조종면,233.140651481394
경기도 가평군 청평면,323.9473928146285
경기도 고양시 덕양구,634.02861891455
경기도 고양시 일산동구,420.76047655064315
경기도 고양시 일산서구,525.0064801339526
경기도 과천시 갈현동,768.3389932028782
경기도 과천시 과천동,875.3175899678719
경기도 과천시 문원동,425.6651478224396
경기도 과천시 별양동,749.0712502796366
경기도 과천시 부림동,2519.4753235881403
경기도 과천시 원문동,1354.6102850951108
경기도 과천시 주암동,958.8122242478103
경기도 과천시 중앙동,974.5541377170654
경기도 광명시 가학동,524.3919583860537
경기도 광명시 광명동,720.6136757999569
경기도 광명시 노온사동,597.3603296543888
경기도 광명시 소하동,661.8520382909685
경기도 광명시 옥길동,335.8132314185654
경기도 광명시 일직동,922.9907076886337
경기도 광명시 철산동,1352.311440340074
경기도 광명시 하안동,509.2460872920394
경기도 광주시 경안동,661.4149290626178
경기도 광주시 고산동,837.3126422497556
경기도 광주시 곤지암읍,350.17423457309064
경기도 광주시 남종면,452.60724679660126
경기도 광주시 남한산성면,535.3774370250732
경기도 광주시 능평동,354.57505664698385
경기도 광주시 도척면,309.6943934733444
경기도 광주시 매산동,397.12256625740724
경기도 광주시 목동,370.1746411056712
경기도 광주시 목현동,359.6407909542088
경기도 광주시 문형동,455.86904088992566
경기도 광주시 삼동,481.5276268011282
경기도 광주시 송정동,430.08173231906164
경기도 광주시 신현동,484.9671668164547
경기도 광주시 쌍령동,716.6717308627375
경기도 광주시 양벌동,573.5387042223053
경기도 광주시 역동,978.8909897023486
경기도 광주시 장지동,982.8466701165985
경기도 광주시 중대동,303.4343932062552
경기도 광주시 직동,376.3108605666227
경기도 광주시 초월읍,404.09813170526195
경기도 광주시 추자동,564.1485479206743
경기도 광주시 탄벌동,498.32224957416423
경기도 광주시 태전동,692.6467214874382
경기도 광주시 퇴촌면,369.56849112764513
경기도 광주시 회덕동,408.84302983857975
경기도 구리시 갈매동,947.0645532524479
경기도 구리시 교문동,624.6017621837859
경기도 구리시 사노동,997.2263391515731
경기도 구리시 수택동,592.1801027861803
경기도 구리시 아천동,612.9168841663505
경기도 구리시 인창동,600.1532846540997
경기도 구리시 토평동,528.1185206759534
경기도 군포시 금정동,395.18848720267437
경기도 군포시 당동,388.3839197671302
경기도 군포시 당정동,556.1862349797391
경기도 군포시 대야미동,423.6473406277257
경기도 군포시 도마교동,1388.2665745517445
경기도 군포시 부곡동,569.06723940661
경기도 군포시 산본동,470.66842523210363
경기도 군포시 속달동,357.81926048736904
경기도 김포시 감정동,437.73101789178
경기도 김포시 걸포동,446.4771463243769
경기도 김포시 고촌읍,528.4823514852527
경기도 김포시 구래동,679.4952586503653
경기도 김포시 대곶면,342.60348415077266
경기도 김포시 마산동,810.0718621469778
경기도 김포시 북변동,676.6248498658775
경기도 김포시 사우동,518.9477969702605
경기도 김포시 양촌읍,509.6065721837451
경기도 김포시 운양동,728.2969061212933
경기도 김포시 월곶면,252.76549009518658
경기도 김포시 장기동,645.6998521967162
경기도 김포시 통진읍,352.78419682178514
경기도 김포시 풍무동,692.5629492081507
경기도 김포시 하성면,281.1893846151392
경기도 남양주시 금곡동,348.4400033912858
경기도 남양주시 다산동,804.3712237603398
경기도 남양주시 별내동,674.9891647468378
경기도 남양주시 별내면,303.69465696746823
경기도 남양주시 삼패동,740.3996855233961
경기도 남양주시 수동면,293.7923170148454
경기도 남양주시 수석동,399.2249619946715
경기도 남양주시 오남읍,330.89258068169346
경기도 남양주시 와부읍,944.75706775803
경기도 남양주시 이패동,572.9006376738874
경기도 남양주시 일패동,359.7050184221237
